id,alias,call_sign,code_iata,code_icao,country_id,name
J3,,POLARIS,J3,PLR,ca,Northwestern Air
J4,,,J4,,ru,ALAK
J5,,,J5,,us,Alaska Seaplane Service
J7,FlyNonstop,DNM,J7,,no,Denim Air
J8,,BERJAYA,J8,BVT,my,Berjaya Air
J9,,JAZEERA,J9,JZR,kw,Jazeera Airways
JA,,AIR BOSNA,JA,BON,ba,Air Bosna
JB,,HELIJET,JB,JBA,ca,Helijet
JC,,JANEX,JC,JEX,jp,JAL Express
JD,,Air System,JD,JAS,jp,Japan Air System
JE,,TULCA,JE,MNO,za,Mango
JF,,BEAUTY,JF,JAF,be,Jetairfly
JH,,FUJI DREAM,JH,,jp,Fuji Dream Airlines
JI,,MIDWAY,JI,MDW,us,Midway Airlines
JJ,,TAM,JJ,TAM,br,TAM Brazilian Airlines
JK,,SPANAIR,JK,JKK,es,Spanair
JL,,J-BIRD,JL,JAL,jp,Japan Airlines Domestic
JL,JAL Japan Airlines,JAPANAIR,JL,JAL,jp,Japan Airlines
JM,,JAMAICA,JM,AJM,jm,Air Jamaica
JN,,EXPO,JN,XLA,gb,Excel Airways
JO,,JALWAYS,JO,JAZ,jp,JALways
JP,,ADRIA,JP,ADR,si,Adria Airways
JQ,,JETSTAR,JQ,JST,au,Jetstar Airways
JR,,JOY AIR,JR,JOY,cn,Joy Air
JS,,AIR KORYO,JS,KOR,,Air Koryo
JT,,LION INTER,JT,LNI,id,Lion Mentari Airlines
JU,,JAT,JU,JAT,rs,Jat Airways
JV,,BEARSKIN,JV,BLS,ca,Bearskin Lake Air Service
JW,,BIG A,JW,APW,us,Arrow Air
JX,,,JX,JSR,eg,Jusur airways
JY,,,JY,AXZ,it,Aereonautica militare
JZ,,SKY EXPRESS,JZ,SKX,se,Skyways Express
K1,,,K1,KOQ,ru,Kostromskie avialinii
K2,,EUROLOT,K2,ELO,pl,Eurolot
K5,,SASQUATCH,K5,SQH,us,SeaPort Airlines
K6,,,K6,,kh,Cambodia Angkor Air (K6)
K7,,KORAL BLUE,K7,KBR,eg,KoralBlue Airlines
K8,,ZAMBIA SKIES,K8,,zm,Zambia Skyways
KA,, Hong Kong Dragon Airlines,KA,HDA,,Dragonair
KB,,ROYAL BHUTAN,KB,DRK,bt,Druk Air
