id,code_iata,code_icao,country_id,municipality,name,timezone_id
0co3,,0co3,us,Bennett,Greggs Nr 1 Airport,America/Denver
0co5,,0co5,us,Last Chance,Chenoweth Airport,America/Denver
0co6,,0co6,us,Norwood,Flying M & M Ranch Airport,America/Denver
0co8,,0co8,us,Mead,Cartwheel Airport,America/Denver
0co9,,0co9,us,Monte Vista,Van Treese Airport,America/Denver
0fa1,,0fa1,us,Arcadia,Frierson Grove Airport,America/New_York
0fd0,,0fd0,us,Ormond Beach,Big 'G' Airport,America/New_York
0fd3,,0fd3,us,Freeport,Dugger Field,America/Chicago
0fd5,,0fd5,us,Defuniak Springs,Breezy Knoll Airport,America/Chicago
0fd9,,0fd9,us,Defuniak Springs,Joy Farms Airport,America/Chicago
0fl0,,0fl0,us,Clewiston,Harper's Fly-In Ranch Airport,America/New_York
0fl1,,0fl1,us,Branford,Thompson Airfield,America/New_York
0fl6,,0fl6,us,Lithia,Stanchester Airport,America/New_York
0fl9,,0fl9,us,Clewiston,Mc Daniel Ranch Inc. Airport,America/New_York
0ga0,,0ga0,us,Hampton,Halls Flying Ranch Airport,America/New_York
0ga1,,0ga1,us,Hartwell,Mustang Field,America/New_York
0ga2,,0ga2,us,Hartwell,Airnautique Inc. Airport,America/New_York
0ga3,,0ga3,us,Temple,Ayresouth Airport,America/New_York
0ga4,,0ga4,us,High Shoals,Paradise Falls Airport,America/New_York
0ga6,,0ga6,us,Jersey,Sunset Strip,America/New_York
0ga7,,0ga7,us,Temple,Hickory Level Airfield,America/New_York
0ga8,,0ga8,us,Valdosta,Paso Fino Farm Airport,America/New_York
0ga9,,0ga9,us,Roberta,Roberta Industrial Park Airport,America/New_York
0ge0,,0ge0,us,Douglasville,Pinewood Airport,America/New_York
0ge1,,0ge1,us,Irwinville,Crystal Lake Airpark,America/New_York
0ge3,,0ge3,us,Trenton,Lookout Mountain Airport,America/New_York
0ge4,,0ge4,us,Sunnyside,Pecan Patch Airstrip,America/New_York
0ge5,,0ge5,us,Cleveland,Mountain Airpark,America/New_York
0ge7,,0ge7,us,Appling,Carpenter Airport,America/New_York
0ge9,,0ge9,us,Rocky Ford,Pegasus Ranch Airport,America/New_York
0ia3,,0ia3,us,Waterloo,Hawkeye Airport,America/Chicago
0ia4,,0ia4,us,Mediapolis,Sharar Field,America/Chicago
0ia5,,0ia5,us,Millerton,Moore Private Airport,America/Chicago
0ia6,,0ia6,us,Victor,Rinehart Airport,America/Chicago
0ia8,,0ia8,us,Center Point,Hannen Airport,America/Chicago
0id0,,0id0,us,Featherville,South Fork Ranch Airport,America/Boise
0id1,,0id1,us,Filer,Ziggy's Airport,America/Boise
0id2,,0id2,us,May,Flying Joseph Ranch Airport,America/Boise
0id3,,0id3,us,Mountain Home,Coyote Run Airport,America/Boise
0id4,,0id4,us,Shoshone,Black Butte Ranch Airport,America/Boise
0id5,,0id5,us,Oreana,Ez Lope Ranch Airport,America/Boise
0id7,,0id7,us,Murphy,Z X Ranch Airport,America/Boise
0id8,,0id8,us,Grangeville,Pinnacle Airport,America/Los_Angeles
0ii0,,0ii0,us,Albany,Chuck's Airport,America/Indiana/Indianapolis
0ii1,,0ii1,us,Bremen,Unsicker Airport,America/Indiana/Indianapolis
0ii2,,0ii2,us,Bremen,Creighton Airport,America/Indiana/Indianapolis
0ii3,,0ii3,us,Bunker Hill,Miller Strip,America/Indiana/Indianapolis
0ii5,,0ii5,us,Chalmers,Marshall Field,America/Indiana/Indianapolis
0ii6,,0ii6,us,Goshen,Kropf Airport,America/Indiana/Indianapolis
